abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
oblivious,adj.不知道的，不知情的,lacking awarness;not informed
obloquy,n.谩骂，诽谤,abusively language
obscure,"adj.含义模糊的
adj.平凡的，不知名的","1.not clearly veiled or uncertain meaning
2.famous"
obsequious,adj.谄媚的，奴性的,fawning attentiveness
obsess,vt.迷住；使困扰,haunt
obstinate,adj.固执的,in spite of persuasion
obstreperous,adj.不听话的，任性的,unruly
obstruct,vt.妨碍，给…制造困难,"impede,create difficulty"
obtuse,adj.愚钝的,absorb ideas readily
obviate,vt.排除，使不必要,unnecessary
occult,adj.难以理解的,not easily apprehended
odium,n.憎恶，讨厌,strong dislike
offbeat,adj.不平常的,different from generally found
offhand,adj.即兴的，没有准备的,without premeditation
officious,adj.多管闲事的,thrusting oneself
offish,adj.冷淡的,aloof
off-key,adj.不寻常的，不合适的,out of accord with
ominous,adj.凶兆的,omen evil
omniscient,adj.无所不知的,complete knowledge
onerous,adj.费时间花心思的,"required much time,effort"
opaque,adj.晦涩的,obscure
opine,v.表达观点；想，认为,express opinions
opportune,adj.合适的，适当的,convenient
opprobrious,"adj.辱骂的
adj.臭名昭著的，令人鄙视的","1.reproach
2.infamous"
outrageous,"adj.过分的，难以容忍的
adj.极坏的，极可怕的","1.exceeding the limits
2.bad or horrible"
orient,vt.使确定方向，使熟悉或适应,determinate position;make familiar
original,"adj.创新的
adj.最初的，最早的","1.creative
2.before"
orthodox,adj.传统的,"established form,custom,or rules"
oscillate,vt.犹豫，变化,vary
ossify,v.（使）硬化，（使）僵化,hardened conventional and opposed to change
ostentatious,adj.炫耀卖弄的,conspicuous pretentious
ostracize,vt.驱逐,exclude
oust,vt.驱逐,drive out
overweening,adj.傲慢的，专横的,"feeling of superiority,overbearing"
outlandish,adj.古怪的，奇异的,out of ordinary;bizarre
outmaneuver,vt.以策略取胜,overcome
outset,n.开端，开始,beginning
outwit,vt.欺瞒，以智取胜,surpass cunning
overbearing,adj.专横傲慢的,arrogant
overlap,v.（与…）部分重叠,same area
overt,adj.明显的，公开的,open
overture,"n.前言
n.序曲","1.introductory prelude
2.opera"
oxymoron,n.矛盾修饰法,combination contradictory
pacify,vt.使平静，安慰,ease the anger
padding,n.夸张，废话,go beyond the facts
paean,n.欢乐颂，赞扬,"joyous song,praise"
painstaking,adj.煞费苦心的,diligent care
palatable,adj.感到愉悦满足的,pleasure or contentment
palatial,adj.宫殿般奢华的,ornateness
pall,vi.失去兴趣,interest attraction
palliate,vt.平息，减轻,"less severe,intense"
pallid,"adj.无生气的，缺乏活力的
adj.苍白无血色的","1.lacking radiance,vitality
2.pale"
palmy,adj.繁荣的,prosperity
palpable,adj.明显的，易觉察的,obvious
palter,vi.欺骗；讨价还价,"insincerely,deceitfully"
paltry,adj.无价值的，微不足道的,important
pan,vt./n. 严厉批评,harsh criticism
panache,n.炫耀,flamboyance
pandemic,adj.大范围流行的,widespread
pandemonium,n.喧嚣，骚动,noise
panegyric,n.赞颂之词，颂文,eulogistic
panoramic,adj.全景的,complete view
provenance,n.来源，起源,"origin, source"
paradigm,n.典范，模范,pattern
paradise,n.快乐，狂喜,pleasurable emotion
paradox,n.矛盾，悖论,opposed to common sense
paragon,"n.优秀模范
vt.把…比作；显示相识","1.example
2.compare"
paramount,adj.最重要的,chief importance
paranoid,adj.多疑的，对他人极端恐惧和怀疑的,extreme fear or distrust
paraphrase,v.转述，意译，改写,in different words
parch,v.炽，烤；烤干,dry
parenthesis,n.间断,interruption
pariah,n.被排斥或鄙视的人,despised or rejected
parity,n.相称，同等，平等,being equal
parody,"n.（以嘲笑原作作者的）模仿作品，恶搞
v.模仿（以嘲弄）","1.imitated for
2.copy"
paroxysm,n.（政治、社会领域的）大动荡,disturbance
parrot,vt.（机械地）模仿，复制,"imitate,without understanding"
parry,vt.躲避（问题）,evade
parsimonious,n.过度节俭的，吝啬的,stinginess
partial,"adj.偏袒的，偏爱的
adj.部分的，不完整的","1.biased
2.lacking"
particularize,vt.详述,give details
partisan,"n.有偏见的人
adj.偏袒的",one side
pastiche,"n.（带嘲讽的）模仿
n.大杂烩","1.with satirical intent
2.hodgepodge"
partition,n.分割，划分,dividing
patent,"adj.显而易见的，明显的
n.专利","1.readily visible
2.an official right only allowed to make or sell"
pathological,adj.不正常的，病态的,markedly abnormal
patina,"n.外表
n.（由内而外散发的）氛围，气场","1.superficial
2.appearance or aura"
patrician,"n.贵族，名门望族
adj.贵族的，地位高的","1. a man of high birth
2. of high birth"
patriot,n.爱国者,one who loves his country
patronize,"vt.赞助；
vt.以高人一等的态度对待",provide aid
paucity,n.少量，缺乏,dearth
province,n.职能范围,field of activity or authority
peck,"n.大量
v.（不情愿地）小口咬","1. a considerable amount
2. eat in small bites"
pedagogue,n.教育者，老师,a person who giving formal instruction
pedant,n.书呆子，墨守成规之人,one to sticks to formal rules
predestine,vt.预先注定,in advance
pedestrian,adj.平庸无奇的，令人厌倦的,causing weariness
peep,n.一瞥,a brief look
peer,"n.同等地位的人，同辈；
v.好奇地凝视","n. a person who has equal standing with others
v. look narrowly"
peeve,v.打扰，惹恼,disdurb the peace of mind
pejorative,adj.轻蔑的，贬低的,disparaging
pellucid,"adj.清晰明确的，易懂的
",transparently clear
plaintive,adj.悲伤的,expressing suffering
polymath,n.学识渊博的人，博学者,encyclopedic learning
penchant,n.嗜好，迷恋,a strong inclination
penitent,adj.悔过的,regretful
pensive,adj.沉思的，（尤指）哀思的,marked by sad thinking
penury,"n.贫穷
n.吝啬，节俭","1. extreme dearth
2. extreme frigality"
perambulate,v.徒步穿越，走过,travel over
perceptible,adj.可察觉的,being perceived
peremptory,"adj.不容反抗的
adj.傲慢的","1. not allowing controdiction
2. having a feeling of superiority"
parochial,adj.狭隘的,not broad
perfidy,n.不忠，背信弃义,disloyal
perforate,v.打孔，穿透,make a hole through
perfunctory,adj.敷衍的，呵呵的,routine and supreficial
perimeter,n.边界，界限,the outer limit
periodical,adj.周期性的，有固定间隔的,occuring at regular intervals
peripatetic,adj.巡游的，四处游历的,walking from place to place
peripheral,adj.辅助性的,available to supply
perish,vi.死亡，消亡,cease to exist
permanent,adj.永恒的,continuing or enduring
permeable,adj.可渗透的,capable of being penetrated
permeate,v.弥漫，渗透,spread throughout
pernicious,adj.有害的,highly injurious
patchwork,n./adj.混合物（的）,mixture of various things
perpetual,adj.永恒的，不断的,continuing forever
persecute,v.迫害，折磨,cause suffering to
persiflage,n.打趣,teasing
persistence,n.坚持，持续,lasting existence
personable,adj.风度翩翩的，吸引人的,attractive
perspicacious,adj.极敏锐的，有洞察力的,showing mental discernment
perspicuity,n.清晰明了,clearness and lucidity
pertain,v.有关联,have a relation
pertinacious,adj.顽固的，固执地坚持的,sticking to an opinion
pertinent,adj.相关的，恰当的,having a clear relevance
penance,n.忏悔,regret
peruse,v.细读,examine with great care
pervade,v.弥漫，充满,be present throughout
pessimistic,adj.悲观的,taking the gloomist possible view
petition,"n.请愿，正式的申请；申请书
v.（尤指正式地）请求","1. a solumn request
2. make a request"
petrify,v.使僵化，使失去活力,become stiff
petty,adj.细微的，不重要的,of small importance
phenomenal,adj.不寻常的，非凡的,being out of the ordinary
philanthropic,adj.博爱的，为他人着想的,showing a concern for the welfare of others
philistine,n.市侩（注重物质而鄙视智慧或艺术的人）,a person guided by materialism
phlegmatic,adj.冷静的，无感情的，淡漠的,"having a calm, sluggish temperament"
piddling,adj.微不足道的,so trifling or trivial
piebald,adj.混合的，杂糅而成的,consisting of different colors
pigment,"n.颜料
v.给…上颜色","1. a subsance that imparts a color
2. to color with"
pilfer,v.偷窃,steal
precocious,adj.早熟的,before the usual
pillory,v.当众嘲弄,expose to public contempt
pilot,"adj.初步的，试验性的
v.带领通过","1. seving as a tentative model
2. lead over a difficult course"
pine,"v.渴望，奢望
",yearn intensely
pinnacle,n.顶峰,the highest point
pinpoint,"adj.非常精确的
v.精确定位或确认","1. located with extreme precision
2. identify with precision"
piquant,adj.令人振奋的,provocative
pique,v.激起，刺激,excite or arouse
pirate,"v.盗版，盗用
",take without actual right
pithy,adj.精练的，简洁的,forceful and brief
pitiless,adj.没有同情心的,devoid of pity
pittance,n.少量津贴,a small portion
placate,v.（通过让步以）平息抚慰,lessen the anger
placebo,n.安慰性的事物,something used to appease another
plagiarize,v.剽窃，抄袭,steal
plangent,adj.凄凉的，哀伤的,plaintive
plastic,adj.可塑的,susceptible of being modified
plateau,"n.高原
n.稳定时期，平台期","1. raised above area or land
2. a stable level"
platitude,n.陈词滥调,a banal statement
plausible,adj.可信的, reasonable
plague,"n.瘟疫
v.折磨，使......痛苦","1. a widespread disease
2. cause persistent suffering"
plethora,n.过量，过剩,excess
pliable,"adj.易弯曲的，柔软的
adj.易受影响的，温顺的","1. suppple
2. easily influenced"
pliant,"adj.易弯曲的
adj.顺从的","1. easily bent
2. yielding to influence"
plight,n.困境,an unfortunate situation
plodding,n.无聊的，单调乏味的,dull and monotonous
pluck,"n.敢于面对困难的勇气
",resourceful courage
plumb,"adj.完全的，绝对的；
v.仔细深入地检查；探索，探究","1. having no exceptions
2. examine closely"
plummet,v.突然下降,decline suddenly
plump,"adj.丰满的
v.鼎力支持，赞不绝口","1. well-rounded
2. give full support"
plunge,v.突然下降,descend suddenly
polarize,v.使分开对立，使两极分化,break up into opposing factions
polemic,n.争执,a controversial argument
polished,adj.有教养的,showing a high degree of refinement
politic,adj.合时宜的，明智的,suitably tactical
polymath,n.博学者,a person of encyclopedic learning
pompous,"adj.浮夸的
adj.傲慢的","1. excessively ornate
2. having self-importance"
ponderable,adj.值得考虑的，有价值的,considerable enough to be weighed
ponderous,adj.沉重的,of great weight
pontificate,v.傲慢地做或说,speak in a pompous way
pore,v.仔细浏览，仔细研究,read or study attentively
porous,adj.多孔可渗透的,admitting the passage of liquid
portentous,"adj.预兆性的，凶兆的
",showing a sign of evil
poseur,n.故作姿态、不真诚的人,an affected or insincere person
posit,v.假定，断定,assume the existence of
postulate,"n.假定，假设
v.假定为真","1. something used as a starting point
2. assume as true"
posture,v.故作姿态，装模作样,assume a pretended attitude
potable,"n.饮品，尤指有酒精饮料
adj.适于饮用的","1. a beverage
2. suitable for drinking"
potentate,n.有权势的人,one who has the power
potentiate,v.加强，激活,make more active
pout,v.（尤指撅嘴或板着脸）表示不悦,show displeasure
practitioner,n.职业人士,one who practice a profession
premium,adj. 高端的,of superior high quality
prate,v.闲聊，空谈,talk idly
preach,v.传道，布道,deliever a sermon
precarious,"adj.危险的，不稳定的
adj.可疑的，不明确的","1. lacking in security
2. cause to happen"
precedent,"n.先例，前例
adj.先前的","1. an earlier occurrence
2. cause to happen"
ploy,n. 计策，手段,a clever often underhanded means
precipitate,"adj.匆忙的
v.促使，导致","1. acting with careless speed
2. cause to happen"
precipitation,"n.仓促
n.沉积物，尤指降水","1. disorderly speed
2. a deposit"
precipitous,"adj.非常陡峭的
adj.匆忙的","1. very steep
2. acting with careless speed"
preclude,v.预先阻止,make impossible in advance
precursor,n.先驱者，先导,one that precedes the approach of another
predecessor,n.前任，先辈,a person who has previous occupied a position
predilection,n.爱好，偏袒,a disposition in favor of something
preeminent,adj.优秀的，重要的,having paramount rank
preempt,v.预先占有,seize before others
preen,v.打扮修饰,dress oneself with elaborate care
preface,n.序言,a preliminary statement
pregnant,adj.重要的，意味深长的,full of meaning
premeditate,v.预谋,think about beforehand
preoccupation,n.非常关心，全神贯注,extreme concern with something
preponderant,adj.占优势的，更重要的,having superior importance
prepossessing,adj.给人好感的，有魅力的,serving to impress favorably
preposterous,adj.荒谬的，不符合常理的,contrary to common sense
presage,"n.征兆
v.预示，预言","1. a warning of future event
2. foretell or predict"
prescience,n.预知，先见,knowledge of actions before they occur
prescription,"n.处方
n. 规定，传统的规矩","1. a written message from a doctor
2. something prescribed as a rule"
primitive,adj. 原始的,belonging to an early level
prestige,n.声望，威望,the level of respect
presumptuous,adj.傲慢的,having a feeling of superiority
pretense,"n.虚假，伪装
n.自大，优越感","1. the act of pretending
2. an exaggerated sense of one's importance"
preternatural,adj.超乎寻常的,surpassing the usual
prognosis,n. 预兆,a declaration that something will happen in the future
prevalent,adj.流行的，普遍的,commonly accepted
prevaricate,vi.支吾其词，撒谎,evade the truth
primordial,adj.原始的，最初的,happening first
primp,v.精心打扮,adorn
peddle,v.叫卖，兜售,sell
pristine,adj.纯净的，质朴的，未被文明腐蚀的,remaining in a pure state
privation,n.缺乏，穷困,lack of what is needed for existence
probe,v./n.深入调查,a penetrating investigation
probity,n.正直,high moral standards
proclivity,n.癖性，偏好,a naturak inclination
procrastinate,v.（因为懒散）拖延,put off
procure,v.获得，取得,get possession of 
prod,v.促使…行动,try to persuade
prodigal,"adj.挥霍的
n.败家子","1. reckless spendthrift
2. someone who spends money freely"
prodigious,"adj.巨大的
adj.惊人的，了不起的","1. enormous
2. causing astounishmeny"
profane,v.亵渎,treat with abuse
proffer,v./n.献出，提供,offer
proficient,adj.熟练的，精通的,marked by an advanced degree of competence
profligate,"adj./n.挥金如土的，挥霍的
n.败家子
","1. recklessly wasteful
2. people who spend money freely"
pushover,n.容易做的工作,something that is easy to do
profusion,"n.丰富，大量
",abundance
prohibitive,adj.（价格高得）抑制购买的,discourage purhcase
proliferate,v.快速繁殖；激增,grow or multiply rapidly
prolix,adj.啰嗦的，冗长的,tending to speak at excessive length
prologue,n.序言,the preface
prolong,v.延长，拖延,lengthen in extent
promulgate,v.正式宣布,make known
proofread,v.校对,find errors
propagate,v.传播，宣传,spread out
propensity,n.倾向，癖好,a natural inclination
prophetic,adj.预言的，预示的,foretelling
propitiate,v.抚慰，劝解,appease
propitious,adj.吉祥的,favorably disposed
proponent,n.建议者，支持者,supporter
propriety,n.适当，得体,the quality of being suitable or fitting
prosaic,adj.单调的，常见的,being in the normal course of events
proscribe,v.禁止，排斥,forbid
prosecution,n.实行，执行,the doing of an action
proselytize,v.（使）改变信仰,change riligious faith
prospect,"v.探查，勘探
",go into discovery
prosperous,adj.成功的，繁盛的,marked by vigorous growth
prostrate,"adj./vt.平躺（的）/使平躺
adj./v.衰弱的/使衰竭","1. lying flat
2. reduce to extreme weakness"
protean,adj.善变的；多才多艺的,versatile
protocol,n.正确的礼仪规范,a code of correct conduct
protract,v.延长，拖长,prolong
protrude,v.突出,project
protuberant,adj.隆起的，凸出的,thrusting out
provident,"adj.有远见的
adj.节俭的","1. frugal
2. showing awareness for the future"
providential,adj.天意的，幸运（的）,happeing as divine intervention
provincial,adj./n.狭隘（的）,limited in perspective
provisional,adj.临时的,temporary
provisory,adj.有附带条件的；临时的,conditional
provoke,"vt.激怒
vt.驱使，激起","1.incite anger
2.stir feeling"
prowess,n.英勇，勇敢,courage
prowl,v.巡游以猎取食物；徘徊,roam through
prude,n.过分正经的人：一个过分关心自己是否得体、谦逊或正确的人,greatly concerned with seemly behavior and morality
prudent,"adj.明智的；
adj.小心谨慎的，审慎的","1.wise
2.circumspection"
prudish,adj.过分守礼的,prudery
prune,vt.修剪；修整,cut off
pry,vi.刺探，打听,inquire closely
pseudonym,n.假名，笔名,fictitious name
putative,adj.推测的，假定的,regarded as such
pecuniary,adj.金钱上的,money
puckish,adj.淘气的，顽皮的,mischievous
puerile,adj.幼稚的，不成熟的,immature
puissance,n.权力,power
pulchritude,n.美丽,beauty
pulverize,vt.将…研磨成粉；将…彻底摧毁,crush to dust
permeate,v.弥漫，渗透,spread throughout
punctilious,adj.注意细节的，一丝不苟的,attentive to details
pundit,n.权威人士，专家,who gives authoritive opinions
pungent,adj.辛辣的，讽刺的,use of wit to cause hurt feelings
puny,adj.微小的，弱小的,weak
purport,v.声称，打算,state as a fact
purlieu,"n.常去的地方
n.临近的地区","1.place for socializing
2.adjoining region"
purloin,vt.偷窃,steal
purvey,v.（大量）供给，供应,supply
pusillanimous,adj.懦弱的，胆小得令人鄙视的,timidity
quack,n.骗子医生，江湖郎中,pretender
quaff,vt.大口地喝,drink heartily
quail,vi.胆怯，畏缩,cower
qualify,"vt.限定
vt.使有资格，使有能力","1.reduce
2.make competent"
quandary,n.困惑，窘境,perplexity
quarantine,n.隔离,isolation
qualm,n.担忧，不安,uneasy feeling
quash,vt.镇压，阻止,put a stop to
quirky,adj.古怪的，奇葩的,different from the ordinary
quell,"vt.压制
vt.使平静，使安静","1.suppress
2.pacify"
quench,"vt.熄灭
vt.使满足","1.put out
2.put a complete end to"
querulous,adj.抱怨的，爱发牢骚的,complaining
quibble,vi.吹毛求疵,cavil
quiescent,adj.平静的，静止的,inactive
quixotic,adj.不切实际的，空想的,more by ideals than by reality
quota,n.配额，限额,poroportional
quotidian,adj.每日的；平凡的,commonplace
rabble,n.混乱的人群；暴民；下层民众,disorganized corwd of people
rabid,adj.狂热的，不冷静的,fanatical
racy,adj.活泼生动的,vigorous
raffish,adj.低俗的,crudeness
recapitulate,v./v.概括，摘要,make into a short statement
rage,n./v.暴怒,violent anger
ragged,adj.凹凸不平的，不光滑的,not smooth
rail,vi.怒骂，猛烈抨击,revile or scold
rakish,adj.放荡的，行为不检点的,lowered moral character
ramble,vi.漫谈；长篇大论（并经常离题）地说或写,talk without a topic
rambunctious,adj.喧闹的，骚乱的,noisy
ramshackle,adj.摇摇欲坠的,ready to collapse
rancor,n.敌意，深仇,ill will
random,adj.随机的，随意的,lacking pattern
rankle,vt.激怒,cause anger
rant,n.（尤指长时间的）训斥，责骂,angry scolding
rapacious,adj.过度贪婪的,covetous
rapport,n.和睦，友好,friendly relationship
rapprochement,n.和睦，友好,cordial relations
rapscallion,n.流氓，恶棍,evil
rapt,adj.狂喜的，狂热的,pleasurable emotion
rarefy,vt.使稀薄,make rare
rash,adj.草率的，仓促的,lack caution
raspy,adj.声音刺耳的,harsh
ratify,vt.（官方地）认可，批准,official acceptance
ratiocination,n.推理,thought processes
ration,vt.按比例分配,share or portion
rational,adj.理性的,based on reasoning
rave,"vi.狂热赞扬
vi.（发疯般地）怒吼","1.exaggerated display of affection
2.talk as if in delirium"
ravel,"vt.解开，松开
vt.阐明
vt.使纠缠，使复杂化","1.separate strands
2.clarify by separating
3.tangle"
ravish,vt.使陶醉，使沉迷,overcome with emotion
raze,vt.摧毁，粉碎,destroy completely
row,n.争吵，争执,expression of differing opinions
reactionary,adj.反对变革的，极保守的,opposition to progress
ream,vt.怒斥，训斥,criticize
ramification,n.影响，结果,result
reassure,vt.使安心，打消疑虑,restore to confidence
rebuff,vt.严词拒绝,reject
recalcitrant,adj.顽抗的，不顺从的,recalcitrant
recant,vt.撤回，放弃，改变,recant
recessive,adj.内向的，内敛的,not confotable around people
recidivate,vi.回到原先的习惯，尤指重新犯罪,return to criminal habits
reciprocate,vt.报答，回报,return
reckless,adj.不考虑后果的，大胆鲁莽的,careless
recluse,n.隐士/adj.隐居的，不爱社交的,withdrawal from society
recoil,vi.退却，畏缩,shrink back
reconcile,vt.使和解，协调,harmony
recondite,adj.深奥的，难解的,difficult to comprehend
reconnoiter,vt.侦察，勘查,make a preliminary inspection
reconstitute,vt.重建，（尤其是通过加水）使复原,restore by adding water
repentant,adj.悔过的,feeling sorrow
rectitude,n.正直,moral integrity
recumbent,adj.躺着的,lying down
recuperate,v.恢复（健康或力量），康复,revcover health
redolent,adj.芳香的,fragrance
redoubtable,"adj.杰出的，值得尊敬的；
adj.可怕的","1.worthy of respect
2.arousing fear"
redundant,adj.多余的，冗余的,exceeding necessary
reel,vi.感到眩晕,from being twirled around
referee,n.仲裁者；裁判员/vt.（就纠纷或争议）给出意见,impartially resolves a dispute
refine,vt.改善，改进,improve or perfect 
reflect,"vt.反映，显露
vi.思考","1.make manifest
2.think seriously"
refractory,adj.倔强的，不顺从的,resisting control
refulgent,adj.辉煌的，灿烂的,shining radiantly
refute,vt.否认,declare not to be true
regenerate,vt.使重获新生，使焕然一新,bring back to life
regimen,n.（政治上的）统治,lawful control
regress,"vi.后退；
vi.退化，恶化",worse
rehabilitate,vt.使复原，使康复,restore to healthy condition
rehearsal,n.排练，彩排,practicing in preparation
reign,n.统治权/vi.占统治地位或盛行,be predominant
rein,n.抑制，限制/vi.抑制，控制,keep with certain boundaries
reiterate,v.重申,state again
rejoice,vi.欣喜，喜悦,feel joy
relapse,vi.重蹈覆辙，再犯,fall back
rehash,v.重复，老调重弹,present again
relentless,"adj.残酷的，无情的；
adj.固执的，不肯妥协的","1.no abatement of sverity
2.yielding in one's purpose"
relevant,adj.有关系的，重要的,having connection
reminiscent,adj.怀旧的，引发回忆的,provoking a memory
relinquish,vt.放弃（职位、权力等）,give up
relish,n.喜好，偏好/vt.享受，喜欢,appreciation or liking
reluctant,adj.不情愿的，反感的,showing unwillingness
remiss,adj.疏忽的，不留心的,carelessness
resent,v.怨恨，憎恨,angry or upset
remonstrance,n.抗议，抱怨,expression of protest
remorse,n.懊悔，悔恨,better regret
remunerate,vt.支付报酬，补偿,pay
rend,vt.撕裂，猛拉,tear or split apart
renegade,n.背教者，叛徒,allegiance
renounce,vt.（正式地）放弃,give up
renovate,vt.修复，维修,restore
repartee,n.打趣，善意的玩笑,good-natured teasing
repatriate,vt.遣返,return to the country
repeal,vt.撤销，废除（法律等）,rescind or annul 
repel,vt.使厌恶,cause aversion
repertoire,n.（技术、设备或原料等的）详单,complete list
repine,"vi.抱怨，表达不满；
vi.渴望","1.express discontent
2.long for"
replete,adj.充满……的，富于……的,prossessing with great numbers of something
repose,"n.（劳作后的）休息/vi.休息
n.平静，宁静","1.take a rest
2.freedom from storm"
reprehend,vt.谴责，责难，批评,express unfavorable opinion
repress,"vt.镇压；
vt.阻止（正常的表达、活动或发展等）","1.put down by force
2.prevent expression"
reprieve,vt.对…暂缓处刑，免罪,postpone or cancel punishment
reproach,vt.批评，责备,express criticism
reprobate,n.堕落者，道德败坏的人/adj.堕落的，放荡的,unprincipled person
reproof,n.批评，反对,cirticism
reprove,vt.温和地责备，警告,scold gently
repudiate,vt.否认,declare not the be ture
repugnant,adj.令人厌恶的,arousing aversion
repulse,vt.使厌恶，排斥,reject with denial
repute,n.（尤指好的）名声，名誉,good reputation
requite,"vt.酬谢，报答；
vt.报仇","1.make repayment
2.punish in kind"
requisite,n.必需品/adj.必不可少的，必备的,necessary
rescind,vt.废除，取消,make void
reserved,adj.内向的，缄默的,restrained
residue,n.剩余物,remains
resign,vt.辞职，放弃（职位）,give up office
resilience,n.恢复能力,ability to recover quickly
resolute,adj.坚定的,firm dtermination
resonant,adj.（声音）洪亮的，共鸣的,strong in tone
resourceful,adj.有创造力的，机智的,act imaginatively
respite,n.间歇，休息,rest
retroactive,adj.有追溯效力的,extending in effect to a prior time
resplendent,adj.华丽辉煌的,brilliantly
responsive,adj.反应的；敏感的,quick to respond
restive,adj.急躁的，忧虑的,imaptience or uneasiness
restless,adj.不平静的,lack of quiet
revelation,n.爆料，揭示,making known
resurgence,n.复兴,restoration
resuscitate,vt.使复活，使苏醒,restore consciousness
retainer,n.家仆,service
retaliate,v.报复，反击,pay back
retard,vt.减速，延迟,cause slowly
repetitious,adj.重复的，反复的,repeated many times
reticent,adj.沉默不语的,inclined to be silent
retort,n.（尤指机智的）回应，回答,quick reply
retouch,v.润饰，改进,improve
retract,vt.收回，否认,take back
retrench,vi.削减开支,curtail expenses 
retribution,n.报偿，报应,reward or punishment
retrograde,adj.倒退的/vi.退步，退化,moving backward
retrospective,adj.回顾的,looking back
revel,v.享乐，陶醉,take intense pleasure
revenge,n.报复，复仇/vt.为…复仇,retaliation
revere,vt.（尤指对神的）尊崇，尊敬,repect 
resonate,v.有重要性,beneficial to the health
revive,vi.再获新生,active again
revoke,vt.撤回，宣告无效,annul
revolt,"vt.使厌恶，使反感；
vi.反叛",fill with disgust
ribald,adj.（举止、言语）下流粗俗的,vulgar
rickety,adj.不稳的,lacking stability
restorative,adj.有益健康的,beneficial to the health
ridicule,vt.嘲笑,make fun
rife,adj.丰富的，普遍的,great numbers
rift,n.分裂，不和,break 
rile,vt.刺激，惹怒,make agitated
ripen,v.使成熟，变成熟,make ripe
riot,n.喧闹，暴乱,publie violence
rite,n.惯例，仪式,prescribed form
rive,v.撕开,tear apart
riveting,adj.吸引人的，极迷人的,"absorbing,engrossing"
renaissance,n.复兴,becomes popular again
robust,adj.精力充沛的；强壮的，健康的,full of strength
roil,vt.激怒,displease
rosy,adj.乐观的,inspire hope
rookie,n.新兵；新手；菜鸟,recruit
rote,n.死记硬背,using routine or repetition
rationale,n.基本原理，解释,explain
rouse,"vt.激起，煽动
vt.唤醒","1.stir up
2.stop sleeping"
royalty,"n.皇家身份
n.版税；专利权税","1.regal character
2.payment"
rubicund,adj.红润的，健康的,healthy rosiness
rudimentary,"adj.初始的，未发展的
adj.最根本的，基础的","1.earliest development
2.first principles"
rue,n.后悔，遗憾,feeling of regret
ruffle,"vt.使粗糙
vt.扰乱，打扰","1.destroy smoothness
2.disturb"
ruminate,v.反复思考,go over in the mind
rumple,vt.打乱，使不整齐,undo the proper order
revision,n.修订,making different
runic,adj.神秘的,mysterious
rupture,v.打破；打碎，破裂,part
ruse,n.诡计,subterfuge
rustic,"n.乡下人；头脑简单的人
adj.乡村的
adj.粗俗的","1.awkward or simple person
2.open areas with few buildings
3.lacking polish"
rustle,vi.快速地行动,move or act with speed
sabotage,"n.妨害，破坏
vt.从事破坏活动
","1.hinder a cause
2.practice sabotage
"
saccharine,"adj.像糖一样的，有甜味的
adj.做作的，矫情的
","1.sugar
2.appealing to the emotions
"
sacrilege,n.亵渎圣物,profanation
saddle,vt.使某人有负担,load
safeguard,"n.保护措施
vt.保护
","1.prevent accident
2.make safe
"
sage,智者,wisdom
salient,adj.显著的，最突出的,conspicuously
salubrious,adj.有益健康的,promoting health
salutary,"adj.有益健康的
adj.有利的，利好的
","1.promoting health
2.promoting
"
salutation,n.赞扬,praise
salvage,vt.（从灾难中）抢救,save from loss
salve,v.减轻，缓解,assuage
sanctify,vt.使神圣，将…敬为神,make holy
sanctimonious,adj.假装虔诚的,hypocritically pious
sanction,vt.批准，同意，认可,make valid
sanctuary,n.避难所,protection
showcase,vt.展示（优点）,exhibit in an attractive aseptic
sanguine,adj.乐观的，确信的,free from doubt
sanitary,adj.健康的，清洁的,health
sap,"vt.削弱
n.健康，活力
","1.weaken energy,vitality
2.active strength
"
sapient,adj.聪明的，有洞察力的,deep understanding and intelligent
sarcasm,n.讽刺，轻蔑,ironic
sartorial,adj.裁缝匠的，裁缝的,clothes
sate,vt.使饱足，充分满足,satisfy fully
satiate,vt./adj.（使）饱足（的），过分满足（的）,satisfy fully
scandalous,adj.引起反感的，丢脸的,disgust
satirize,vt.讽刺,ridicule
saturate,vt./adj.使饱和，浸透,wet thoroughly
saturnine,adj.忧郁的，阴沉的,lacking in cheer
saunter,vi.闲逛，漫步,by foot
savant,n.博学之士，学者,learning
savory,adj.令人愉悦的,pleasure or contentment
savvy,"n.老练，机智
adj.有见识的，精明能干的","1.knowledge actually doing
2.practical cleverness or judgment"
scads,n.许多，大量,large number
scant,adj.不足的，缺乏的,scarcely
scathing,adj.尖酸刻薄的,cause hurt feelings
schism,n.不一致,lack of agreement
scintillate,vi.闪耀,sparks
seditious,adj.煽动性的，意在制造混乱的,excite political disorder
scission,n.切断，分离，分裂,division
scoff,v.嘲笑,derision:mock
scorch,v.炙烤，烘干,burn make dry
scorn,vt.轻蔑，鄙视，不屑,"reject,contemptible"
scotch,vt.停止,put an end to
scour,vt.搜查,to find or discover
scowl,vi.皱眉（表现出不高兴）,expression displeasure
scrappy,adj.好斗的，好吵架的,aggressive
scrap,vt.抛弃,get rid of
scrawl,vt.乱涂，潦草地写,carelessly
scribble,v.潦草地书写，乱写,meaningless
scrupulous,"adj.正直的
adj.一丝不苟的
","1.principled
2.great care and effort
"
scrutable,adj.可以理解的,"understood,comprehensible"
